Target, #TripleInThatClass, TimeSinceStartOfVerification(ms)
violated, 6226, 5232
violated, 6979, 5237
violated, 659, 5148
violated, 7351, 5240
violated, 1290, 5168
violated, 4780, 5203
violated, 4493, 5201
violated, 7014, 5237
violated, 7039, 5238
violated, 4264, 5199
violated, 8775, 5250
violated, 653, 5148
violated, 7009, 5237
violated, 4377, 5200
violated, 9800, 5462
violated, 2606, 5188
violated, 3720, 5196
violated, 6053, 5230
violated, 4184, 5199
violated, 2965, 5190
violated, 1640, 5177
violated, 6814, 5236
violated, 1424, 5169
violated, 1960, 5180
violated, 2598, 5187
violated, 636, 5148
violated, 7147, 5238
violated, 4364, 5200
violated, 2587, 5187
violated, 5454, 5223
violated, 2447, 5186
violated, 5645, 5225
violated, 2409, 5185
violated, 1252, 5167
violated, 7499, 5241
violated, 4054, 5198
violated, 9250, 5253
violated, 1766, 5178
violated, 5082, 5205
violated, 3913, 5197
violated, 3653, 5195
violated, 8038, 5245
violated, 8116, 5245
violated, 4866, 5204
violated, 7660, 5242
violated, 19, 5144
violated, 8586, 5249
violated, 6043, 5230
violated, 8175, 5246
violated, 5622, 5225
violated, 4, 3391
violated, 28, 5144
violated, 4731, 5203
violated, 1622, 5177
violated, 3828, 5196
violated, 5183, 5206
violated, 6392, 5233
violated, 7561, 5241
violated, 8511, 5248
violated, 1106, 5151
violated, 8331, 5247
violated, 1525, 5176
violated, 6623, 5235
violated, 8140, 5245
violated, 7835, 5243
violated, 9948, 5581
violated, 226, 5145
violated, 3420, 5193
violated, 2890, 5190
violated, 9470, 5270
violated, 9785, 5456
violated, 2674, 5188
violated, 1605, 5177
violated, 1352, 5168
violated, 1367, 5168
violated, 9951, 5585
violated, 464, 5147
violated, 3804, 5196
violated, 7778, 5243
violated, 717, 5149
violated, 2954, 5190
violated, 4514, 5201
violated, 7149, 5238
violated, 4993, 5205
violated, 2756, 5189
violated, 3836, 5196
violated, 626, 5148
violated, 3982, 5197
violated, 8005, 5245
violated, 4539, 5201
violated, 4940, 5204
violated, 2115, 5182
violated, 8728, 5250
violated, 3738, 5196
violated, 9445, 5270
violated, 8773, 5250
violated, 9706, 5272
violated, 9910, 5550
violated, 6634, 5235
violated, 4276, 5199
violated, 2897, 5190
violated, 8595, 5249
violated, 9155, 5252
violated, 1497, 5176
violated, 7119, 5238
violated, 2687, 5188
violated, 3751, 5196
violated, 3482, 5194
violated, 9188, 5253
violated, 8633, 5249
violated, 2309, 5184
violated, 7842, 5243
violated, 9324, 5269
violated, 9423, 5270
violated, 3073, 5191
violated, 2162, 5183
violated, 6561, 5234
violated, 2194, 5183
violated, 9703, 5272
violated, 7808, 5243
violated, 8087, 5245
violated, 9547, 5271
violated, 608, 5148
violated, 1984, 5181
violated, 720, 5149
violated, 4320, 5200
violated, 5446, 5223
violated, 1048, 5151
violated, 1633, 5177
violated, 4847, 5203
violated, 36, 5144
violated, 7921, 5244
violated, 7992, 5244
violated, 6397, 5233
violated, 2212, 5183
violated, 7952, 5244
violated, 2739, 5189
violated, 2683, 5188
violated, 711, 5149
violated, 6406, 5233
violated, 4238, 5199
violated, 5711, 5226
violated, 5422, 5223
violated, 5173, 5206
violated, 2924, 5190
violated, 4889, 5204
violated, 9048, 5252
violated, 3874, 5197
violated, 5228, 5206
violated, 5864, 5228
violated, 3332, 5193
violated, 220, 5145
violated, 5791, 5227
violated, 172, 5145
violated, 9177, 5253
violated, 5020, 5205
violated, 2024, 5181
violated, 9759, 5445
violated, 7870, 5244
violated, 3441, 5194
violated, 4986, 5205
violated, 941, 5150
violated, 4329, 5200
violated, 439, 5147
violated, 4432, 5201
violated, 2640, 5188
violated, 5365, 5222
violated, 8494, 5248
violated, 4581, 5202
violated, 5531, 5224
violated, 7915, 5244
violated, 7492, 5241
violated, 3474, 5194
violated, 4193, 5199
violated, 984, 5150
violated, 9133, 5252
violated, 6016, 5229
violated, 4256, 5199
violated, 4392, 5200
violated, 5960, 5229
violated, 9846, 5498
violated, 9814, 5468
violated, 2236, 5183
violated, 6633, 5235
violated, 5149, 5206
violated, 587, 5148
violated, 5527, 5224
violated, 5771, 5226
violated, 9436, 5270
violated, 6417, 5233
violated, 3586, 5195
violated, 4846, 5203
violated, 9782, 5455
violated, 5354, 5222
violated, 1729, 5178
violated, 9451, 5270
violated, 8609, 5249
violated, 2500, 5186
violated, 6702, 5235
violated, 611, 5148
violated, 2733, 5189
violated, 5866, 5228
violated, 9751, 5273
violated, 9985, 5626
violated, 3510, 5194
violated, 8619, 5249
violated, 8642, 5249
violated, 5914, 5228
violated, 4757, 5203
violated, 3135, 5191
violated, 8993, 5251
violated, 1004, 5151
violated, 3757, 5196
violated, 5299, 5207
violated, 1093, 5151
violated, 1381, 5168
violated, 4461, 5201
violated, 7910, 5244
violated, 245, 5145
violated, 3082, 5191
violated, 1189, 5167
violated, 6832, 5236
violated, 4286, 5200
violated, 8696, 5249
violated, 9169, 5253
violated, 8711, 5249
violated, 2752, 5189
violated, 1147, 5167
violated, 1328, 5168
violated, 6908, 5237
violated, 2406, 5185
violated, 4623, 5202
violated, 809, 5149
violated, 873, 5150
violated, 9043, 5252
violated, 6067, 5230
violated, 1301, 5168
violated, 6329, 5233
violated, 3760, 5196
violated, 8211, 5246
violated, 5382, 5222
violated, 9262, 5253
violated, 6850, 5236
violated, 9994, 5633
violated, 661, 5148
violated, 8974, 5251
violated, 8360, 5247
violated, 4882, 5204
violated, 9118, 5252
violated, 1543, 5176
violated, 7880, 5244
violated, 3790, 5196
violated, 1342, 5168
violated, 7253, 5239
violated, 1707, 5178
violated, 1832, 5179
violated, 8377, 5247
violated, 3324, 5193
violated, 3809, 5196
violated, 9073, 5252
violated, 3778, 5196
violated, 1332, 5168
violated, 9190, 5253
violated, 7251, 5239
violated, 201, 5145
violated, 9652, 5272
violated, 214, 5145
violated, 5127, 5206
violated, 4549, 5201
violated, 2100, 5182
violated, 2600, 5187
violated, 9063, 5252
violated, 1987, 5181
violated, 4030, 5198
